OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
246,Los Angeles,Malibu,92982.9834788779,73975530.9877436
247,Mono,Mammoth Lakes,58077.399081153,104102584.105154
248,Los Angeles,Manhattan Beach,17595.2246227555,14926378.3682592
249,San Joaquin,Manteca,87494.2696015918,89305511.0126324
250,Kern,Maricopa,18475.6070831266,5975737.35578586
251,Monterey,Marina,38422.8655354603,35446986.9393859
252,Contra Costa,Martinez,74620.7834563895,52940579.8438404
253,Yuba,Marysville,26996.4853570796,15713109.0813429
254,Los Angeles,Maywood,11065.7838467878,4438563.5316526
255,Kern,McFarland,37675.5489978891,24980153.560203
256,Fresno,Mendota,34555.5944717462,13475055.649865
257,Riverside,Menifee,83343.6703118998,174635869.729756
258,San Mateo,Menlo Park,69961.0888590052,41852669.9248672
259,Merced,Merced,133704.710727121,95885024.198384
260,Marin,Mill Valley,35609.4761562067,20074750.5597598
261,San Mateo,Millbrae,20198.7296095275,13490835.5641433
262,Santa Clara,Milpitas,60850.4124348677,55691336.5670675
263,Orange,Mission Viejo,47273.0554537214,67400725.0208295
264,Stanislaus,Modesto,200855.331053434,186787239.243308
265,Los Angeles,Monrovia,53149.2900309417,52129581.0648501
266,Siskiyou,Montague,16686.9993069626,8089220.29245513
267,San Bernardino,Montclair,23083.9462119652,21030132.5694307
268,Santa Clara,Monte Sereno,25551.3322648272,6645555.28732952
269,Los Angeles,Montebello,36783.7990822581,31602688.2538791
270,Monterey,Monterey,62534.6714741686,33754032.5178175
271,Los Angeles,Monterey Park,29326.9275485419,29283299.5995322
272,Ventura,Moorpark,42232.0737280952,47443273.5212736
273,Contra Costa,Moraga,39240.7386098089,39419995.6175931
274,Riverside,Moreno Valley,94349.3774951999,194325185.189031
275,Santa Clara,Morgan Hill,107865.187520069,52684187.8140257
276,San Luis Obispo,Morro Bay,34075.0786058144,23663789.4204598
277,Siskiyou,Mount Shasta,35894.2414048374,16632746.5366359
278,Santa Clara,Mountain View,55031.9965992104,49802185.5939988
279,Riverside,Murrieta,70826.851771438,132600314.613899
280,Napa,Napa,129760.325516568,77262123.2336604
281,San Diego,National City,65504.2706984745,34048338.4011305
282,San Bernardino,Needles,65594.881240781,120051686.571838
